name,longitude,latitude,best_resource
TALLAHASSEE,-84.3289,30.3975,Solar
TAMPA INTL AP,-82.54,27.9633,Solar
TOLEDO EXPRESS AP,-83.8053,41.5869,Solar
TOLEDO EXPRESS AP,-83.8053,41.5869,Wind
TOPEKA ASOS,-95.6261,39.0725,Solar
TOPEKA ASOS,-95.6261,39.0725,Wind
TUCSON INTL AP,-110.9564,32.1317,Solar
TULSA INTL AP,-95.8783,36.1986,Solar
TULSA INTL AP,-95.8783,36.1986,Wind
TUPELO RGNL AP,-88.7714,34.2622,Solar
TUPELO RGNL AP,-88.7714,34.2622,Wind
VALENTINE MILLER FLD AP,-100.5514,42.8586,Solar
VALENTINE MILLER FLD AP,-100.5514,42.8586,Wind
VALENTINE MILLER FLD AP,-100.5514,42.8586,Hydro
VERO BEACH INTL AP,-80.4142,27.6553,Solar
VICTORIA RGNL AP,-96.93,28.8625,Solar
VICTORIA RGNL AP,-96.93,28.8625,Wind
W PALM BEACH INTL AP,-80.0992,26.685,Solar
W PALM BEACH INTL AP,-80.0992,26.685,Wind
WACO RGNL AP,-97.2283,31.6181,Solar
WACO RGNL AP,-97.2283,31.6181,Wind
WALLOPS IS NASA TEST FACILITY,-75.4661,37.9372,Solar
WALLOPS IS NASA TEST FACILITY,-75.4661,37.9372,Wind
WASHINGTON DULLES INTL AP,-77.4472,38.9347,Solar
WASHINGTON DULLES INTL AP,-77.4472,38.9347,Wind
WASHINGTON REAGAN NATL AP,-77.0344,38.8472,Solar
WASHINGTON REAGAN NATL AP,-77.0344,38.8472,Wind
WATERLOO MUNI AP,-92.4014,42.5544,Solar
WATERLOO MUNI AP,-92.4014,42.5544,Wind
WICHITA,-97.4431,37.6544,Solar
WICHITA,-97.4431,37.6544,Hydro
WICHITA,-97.4431,37.6544,Wind
WICHITA FALLS MUNI AP,-98.493,33.9786,Solar
WICHITA FALLS MUNI AP,-98.493,33.9786,Wind
WILKES-BARRE/SCRANTON INTL AP,-75.7228,41.3336,Solar
WILLIAMSPORT RGNL AP,-76.9217,41.2431,Solar
WILLIAMSPORT RGNL AP,-76.9217,41.2431,Wind
WINNEMUCCA AP,-117.8081,40.9017,Solar
WINNEMUCCA AP,-117.8081,40.9017,Hydro
WINNEMUCCA AP,-117.8081,40.9017,Wind
YAP ISLAND WSO AP,138.0833,9.4833,Solar
YOUNGSTOWN-WARREN RGNL AP,-80.6736,41.2547,Solar
YOUNGSTOWN-WARREN RGNL AP,-80.6736,41.2547,Hydro
YOUNGSTOWN-WARREN RGNL AP,-80.6736,41.2547,Wind
